Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Can employees be asked to work outside their job classification and/or in another department?	Yes, employees may be required to work outside of their job classification or department as deemed necessary during this time. The college/department for which work is performed is responsible for compensation at the individual’s regular base rate for their original classification/appointment. Support staff represented by unions will be compensated in accordance with the terms of their collective bargaining agreement or existing practices.\n\nStudent Employees (excluding Graduate Assistants, Teaching Assistants, Teaching Exempt)\n[Collapse All](javascript:collapseFAQ();)	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2394
Can a student employee work remotely?	Yes, we encourage units to seek out creative opportunities for students to work remotely. In-person classes were canceled, and instead moved online, for Summer 2020.\n\nCompensation and Benefits\n[Collapse All](javascript:collapseFAQ();)	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2395
What are the latest communications in terms of the financial impact of the novel coronavirus on MSU employees?	Please see [MSU's Coronavirus response website](https://msu.edu/coronavirus/latest-updates/) for the latest communications related to employees, financial/budget impact, university operations and more.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2396
Are there any special benefit resources available to those enrolled in MSU health plans (e.g. employees, students, and retirees)?	Yes, there are a number of benefit resources available to those enrolled in an MSU health plan and their eligible dependents. This includes virtual visits with your physician, telemedicine, and prescription resources. [Visit the Coronavirus: MSU Benefit Resources webpage to learn more.](https://hr.msu.edu/news/coronavirus-benefit-resources.html)	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2397
Can employees apply for FMLA if they contract COVID-19 or if they have a family member who is ill?	Yes, employees may [apply for FMLA through MSU HR](https://hr.msu.edu/time-off-leave/fmla/index.html) . Eligible employees under FMLA are those who have a serious health condition, or must care for a family member with a serious health condition, which generally is considered an illness, injury, impairment, or physical or mental condition that involves inpatient care or continuing treatment by a health care provider.If an employee is granted FMLA leave, the FMLA leave runs concurrent with existing paid/unpaid leaves of absence. Health, prescription, and dental benefits will continue with the normal University contribution for the duration of the FMLA leave, even if the employee’s paid accruals have been exhausted. [See MSU’s FMLA and PMLA policies.](https://hr.msu.edu/policies-procedures/index.html)	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2398
Is the newly allowed ability to use excused unpaid time in excess of the annual 10-day limit only available to employees not designated as necessary who have exhausted their accruals?	No. With supervisory approval, the option may be used by employees designated necessary or not necessary and regardless of whether other accrual types have been exhausted.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2399
Can my unit refuse to allow me to use unpaid unexcused time in excess of the 10-day limit?	Yes, supervisory/unit approval is required to use the additional excused unpaid time option and units may refuse.  However, supervisors should be aware that refusing such a request may require the employee to be put on a leave of absence, which will have a negative impact on benefits.  Supervisors are encouraged to allow maximum flexibility unless approving such requests present significant operational problems.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2400
What happens to my benefits while I’m on excused unpaid time?	*   Health, dental and basic employer-paid life insurance:  You will continue to have these benefits, and your normal monthly share of benefits costs, if any, will be directly billed to you by MSU.\n\n*   Optional life and accident insurance:  premiums will be placed in arrears and payable with your next paycheck and/or could be direct billed depending on when excused unpaid time begins in the month\n\n*   Flexible Spending Accounts (FSA):  Contributions will be suspended depending on when excused unpaid time begins in the month\n\n*   Retirement and Health Savings Account (HSA) contributions:  No contributions will be made during the unpaid time period.\n\n*   Voluntary Benefits (e.g. vision insurance, legal insurance, etc.):  You will be billed directly by the applicable vendor depending on when excused unpaid time begins in the month.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2401
Can non-union temporary employees take leave under the MSU Paid Medical Leave Act (PMLA) Policy for COVID-19 related reasons?	The PMLA Policy (which applies ONLY to non-union temporary employees) permits non-union temporary employees to take their existing accrual of PMLA time:\n\n*   For closure of the employee's primary workplace by order of a public official due to a public health emergency;\n\n*   For the employee's need to care for a child whose school or place of care has been closed by order of a public official due to a public health emergency;\n\n*   For the employee’s time off if it has been determined by the health authorities having jurisdiction or by a health care provider that the presence of the employee or employee’s family member in the community would jeopardize the health of others because of the eligible employee's or family member's exposure to a communicable disease, whether or not the eligible employee or family member has actually contracted the communicable disease.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2402
The amount of money needed for my Dependent Care Flexible Spending Account (DCSA) has been impacted by COVID-19 due to a closure in my child(ren)’s daycare/school. How do I cancel or adjust the amount of money needed in my DCSA?	If you have a Dependent Care FSA for the 2020 plan year, you have several options for your account due to daycare being closed and/or summer camps being cancelled. If you relate to one of the scenarios below, follow this process for completing the [Offline Change Form](https://hr.msu.edu/benefits/life-change/documents/OfflineEnrollmentForm.pdf) ( Important Note: Please do not use Apple Preview to complete this form.):Complete the [Offline Change Form](https://hr.msu.edu/benefits/life-change/documents/OfflineEnrollmentForm.pdf) on the HR website. ( Important Note: Please do not use Apple Preview to complete this form.)\n\nSelect "Change in Childcare" as the reason for completing the form.\n\nIn the "Event Date" box, enter the date in which you were notified of the change or the date in which the change occurred.\n\nSubmit the form to MSU HR within 30 days of the Event Date (see instructions on the form for further submission details).\n\nExample 1:\n\nMy children are school aged and participate in summer camps. I have elected $1500 to cover expenses for the year. I have contributed $375 to date, but I have incurred $0 to date. I have been notified that these summer camps have been cancelled. I no longer need any amount for Dependent Care FSA.\nAnswer 1 : This situation would be considered a qualifying life event (change in childcare). You should complete and submit the [Offline Enrollment/Change Form](https://hr.msu.edu/benefits/life-change/documents/OfflineEnrollmentForm.pdf)  on the HR website. Important Note: Please do not use Apple Preview to complete this form. In this instance, you would input $375 for the Dependent Care FSA amount and select "Decrease Contribution" under the FSA section of the form. This will recalculate the amount you have elected for coverage to $375 from $1500 and stop further contributions. Unfortunately, the IRS does not permit a refund of pre-tax dollars that are contributed and available to the member. The amount of $375 that you’ve already contributed will be available to you to use for any qualified daycare expenses incurred for the 2020 FSA plan year (including the grace period). If the federal government decides to change this IRS regulation due to these unprecedented times, we will reach out to inform you of this update.\n\nExample 2:\n\nI have a child in daycare and our daycare is currently closed.  I have elected $5000 to cover expenses for the year. I have incurred $3200 to date and I have contributed $1250 to date. I expect that my child will not be returning to daycare since they will start kindergarten in the fall and they are home with me during the summer. I no longer need $5000 to cover expenses for the year, just the $3200 I’ve already incurred.\nAnswer 2 : This situation would be considered a qualifying life event (change in childcare). You should complete and submit the [Offline Change Form](https://hr.msu.edu/benefits/life-change/documents/OfflineEnrollmentForm.pdf) on the HR website. Important Note: Please do not use Apple Preview to complete this form. In this instance, you would put the amount of incurred expenses of $3200 in the Amount field and select "Decrease Contribution" under the FSA section of the form. This will recalculate the amount you have elected for coverage to $3200 from $5000. Deductions will continue but the amount deducted will be lower due to recalculating the new amount needed for the remainder of pay periods in the calendar year.\n\nExample 3:\n\nI have a child enrolled in before and after school care. I have elected $1200 to cover expenses for the year. I have incurred $650 to date and I have contributed $500 to date. Due to school being closed, I expect that I will not need before and after care until fall which will reduce my total costs by $250. This means I only need to elect $950 for the year instead of $1200.\nAnswer 3 : This situation would be considered a qualifying life event (change in childcare). You should complete and submit the [Offline Change Form](https://hr.msu.edu/benefits/life-change/documents/OfflineEnrollmentForm.pdf) on the HR website and select “Decrease Contribution” as the reason for completing the form. Important Note: Please do not use Apple Preview to complete this form. In this instance, you would put the amount of expected incurred expenses of $950 in the Amount field and select Enroll/Change under the FSA section of the form. This will recalculate the amount you have elected for coverage to $950 from $1200. Deductions will continue but the amount deducted will be lower due to recalculating the new amount needed for the remainder of pay periods in the calendar year.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2403
The amount of money needed for my Dependent Care Flexible Spending Account (DCSA) has been impacted by COVID-19 due to a closure in my child(ren)’s daycare/school that has now re-opened. How do I enroll and/or adjust the amount of money needed in my DCSA?	If you have a Dependent Care FSA for the 2020 plan year, you have several options for your account due to daycare being closed and/or summer camps being cancelled. If you relate to one of the scenarios below, follow this process for completing the [Offline Change Form](https://hr.msu.edu/benefits/life-change/documents/OfflineEnrollmentForm.pdf) :\n\n1.  Complete the [Offline Change Form](https://hr.msu.edu/benefits/life-change/documents/OfflineEnrollmentForm.pdf) on the HR website. Important Note: Please do not use Apple Preview to complete this form.\n\n2.  Select "Change in Childcare" as the reason for completing the form.\n\n3.  In the "Event Date" box, enter the date in which you were notified of the change or the date in which the change occurred.\n\n4.  Submit the form to MSU HR within 30 days of the Event Date (see instructions on the form for further submission details).\n\nExample 1:\n\nMy children are school aged and participate in summer camps. I have cancelled my dependent care spending account because the summer camp was cancelled.  Now that summer camps are re-opening, I would like to re-enroll in my dependent care spending account.\nAnswer 1 : This situation would be considered a qualifying life event (change in childcare). You should complete and submit the  [Offline Enrollment/Change Form](https://hr.msu.edu/benefits/life-change/documents/OfflineEnrollmentForm.pdf)  on the HR website. Important Note: Please do not use Apple Preview to complete this form. In this instance, In this instance, you would put the expected amount of incurred expenses of $500 in the Amount field and select “Enroll" under the FSA section of the form. The new election amount would allow for expenses for qualified daycare expenses incurred for the remainder of the 2020 FSA plan year (including the grace period) for reimbursement.  For example, if you re-enroll effective 07/01/2020 for $500, you would be eligible to be reimbursed for qualified daycare expenses incurred between 07/01/2020 – 03/15/2021.\n\nExample 2:\n\nI have a child in daycare and our daycare was closed and has since re-opened.  I originally elected $5000 to cover expenses for the year but reduced that amount to $3200 when my daycare closed. Now that my daycare has been re-opened, I expect that I will incur $4500 this year.\nAnswer 2 : This situation would be considered a qualifying life event (change in childcare). You should complete and submit the [Offline Change Form](https://hr.msu.edu/benefits/life-change/documents/OfflineEnrollmentForm.pdf) on the HR website. Important Note: Please do not use Apple Preview to complete this form. In this instance, you would put the expected amount of incurred expenses of $4500 in the Amount field and select "Increase Contribution" under the FSA section of the form. This will recalculate the amount you have elected for coverage to $3200 from $4500. Deductions will continue but the amount will increase due to recalculating the new amount needed for the remainder of pay periods in the calendar year.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2404
I am a participant in MSU benefits. What rights and responsibilities do I and my beneficiaries have related to COVID-19?	The Department of Labor (DOL) has issued Frequently Asked Questions (FAQs) to help employee benefit plan participants, beneficiaries and employers impacted by the COVID-19 outbreak understand their rights and responsibilities. [Learn more here.](https://hr.msu.edu/news_feeds/covid19-benefits-faqs.html)\n\nFamilies First Coronavirus Response Act\n[Collapse All](javascript:collapseFAQ();)	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2405
What leave programs are available under the Families First Coronavirus Response Act (FFCRA) for employees unable to work or telework due to COVID-19?	Employees may apply for EFMLA or EPSL if they are unable to work or telework and meet the eligibility criteria under EPSL or EFMLA.\n\n*   EFMLA : Emergency Family and Medical Leave Act (EFMLA) expands the FMLA temporarily (until Dec. 31, 2020) to provide 12 weeks of leave to care for of a minor child due to closing of school or daycare or unavailability of daycare because of COVID-19. The first two weeks of EFMLA leave are unpaid (but may be paid by the EPSL), while weeks 3-12 are paid with certain caps. All pay is at a rate of 2/3 an employee’s regular rate of pay.\n\n*   EPSL : Creates the Emergency Paid Sick Leave Act (EPSL) which provides for up to 80 hours of paid sick leave, with caps, to take care of oneself or another individual due to quarantine, COVID-19 or similar symptoms or to take care of a minor child due to closing of school or daycare because of COVID-19. Pay is at full or 2/3 rate, depending on which of the six qualifying reasons an employee is taking EPSL.Additional information on eligibility, key features, pay, and other important aspects of both the [EFMLA and EPSL leave programs is available here](https://hr.msu.edu/time-off-leave/ffcra.html) .\n\nHR Processes\n[Collapse All](javascript:collapseFAQ();)	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2406
Will established absence guidelines/policies/procedures be followed?	Employees are expected to report their absences and to identify the reason for the absence.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2407
Can supervisors ask employees the reason for their absence?	Yes, supervisors may ask employees the reason for their absence. A supervisor may ask an employee if they are experiencing fever and respiratory symptoms, but the supervisor must maintain all information about employee illnesses as a confidential medical record.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2408
How should faculty and academic staff report sick time if they are unable to work due to COVID-19?	The University does not provide a sick leave balance for faculty and academic staff. The general expectation for situations which may require faculty and academic staff to take time off for illness is that unit administrators extend professional courtesy and flexibility for employees under these circumstances and expect that arrangements are made for the work to be done. If, however, the time off interferes with the employee being able to fulfill their responsibilities, then the unit administrator and employee must have a conversation to discuss and evaluate the situation and other alternatives.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2409
Has HR changed central hiring or posting deadlines?	No, at this time, all central deadlines for hiring processes remain unchanged.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2410
Should on-site interviews be rescheduled or moved to virtual?	Yes, on-site interactions should be minimized. The use of video conferencing technology (i.e. Zoom) to conduct interviews is strongly encouraged. To ensure consistency in the interview process and avoid the perception of one candidate having an unfair advantage, ideally all interviews should be conducted in the same manner (e.g. all virtual).	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2411
Are in-person group orientations still being held?	No, in-person group orientations for support staff have been canceled until further notice. HR staff is reaching out to support staff new hires and covering orientation content with them individually.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2412
How should units complete I-9 Section 2 verifications if there is no ability to view employment eligibility documents in-person?	On Mar. 20, 2020, the Department of Homeland Security (DHS) announced that it will exercise discretion to defer the physical presence requirements associated with the Form I-9. Employers with employees taking physical proximity precautions due to COVID-19 will not be required to review the employee’s identity and employment authorization documents in the employee’s physical presence. MSU verifiers still must inspect the Section 2 documents remotely (e.g., over video link, fax or email, etc.) and obtain, inspect, and retain copies of the documents within three business days for purposes of completing Section 2.\n[Units can find steps to complete these temporary provisions here.](https://hr.msu.edu/ua/i9/coronavirus-resources.html)For questions regarding the completion of I-9s using the temporary provision authorized by U.S. Department of Homeland Security, please email [HR.I9Admin@hr.msu.edu](mailto:HR.I9Admin@hr.msu.edu?subject=) .\n\nFaculty & Academic Staff Hiring Modifications (including Executive Management)\n[Collapse All](javascript:collapseFAQ();)	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2413
The President’s memo said all hiring decisions must be approved by the relevant vice president or provost, who will consult with the president as needed. Who are the relevant vice presidents for faculty and academic staff positions?	For purposes of faculty and academic staff positions, relevant vice presidents are defined as the vice president for which your unit reports.\n\nMost academic units, except the human health colleges, report to the Acting Provost and Executive Vice President for Academic Affairs (T. Jeitschko). The Colleges of Human Medicine, Nursing, and Osteopathic Medicine report to the Executive Vice President for Health Sciences (N. Beauchamp). Some academic support units report to the Interim Senior Vice President for Research and Innovation (D. Gage).\n[The President’s memo said that faculty and academic staff hiring processes already begun for Fall Semester 2020 (i.e., Aug. 2020) may continue, but that all other positions already posted should be reviewed for discussion with the relevant vice president or provost, taking into consideration both the status of the hiring process, and the necessity of the position and urgency with which it must be filled. What exactly does this mean?](https://hr.msu.edu/news/coronavirus-faqs.html)Given the numerous scenarios of where the unit may be in the hiring process, a chart has been developed and is available [here](https://hr.msu.edu/ua/hiring/faculty-academic-staff/hiring-modifications.html) . The chart outlines the different stages of the hiring process as well as the anticipated start date, and indicates whether approval is needed from the relevant vice president.\n\nIn general:\n\n*   Any open position that has not yet been posted on the HR website or submitted in EBS workflow as of Mar. 27, 2020 requires approval from the relevant vice president before proceeding.\n\n*   Any open position for which there is an anticipated start date prior to fall 2020, and for which an offer has not yet been accepted, requires approval from the relevant vice president before proceeding.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2414
UPDATED: What is the process for obtaining the relevant vice president’s approval?	In those cases where vice president approval is needed, the form “ [Hiring Approval Form for Posting and Hiring at MSU](https://hr.msu.edu/ua/hiring/documents/hiring-modification-approval-form.pdf) ” must be completed* and appropriate signatures must be obtained before the unit can proceed further with the hiring process. (Use Internet Explorer to view the form, and download and save to complete.) Dean approval is also required for academic colleges. In those cases where the Dean may be communicating directly via email with the Provost, the Hiring Approval Form must still be completed and attached for approval.\n\nAs a reminder, for purposes of faculty and academic staff positions, relevant vice presidents are defined as the vice president for which your unit reports.\nMost academic units, except the human health colleges, report to the Acting Provost and Executive Vice President for Academic Affairs (T. Jeitschko, effective 7/1; T. Woodruff, effective 8/1). In this instance, please send the completed form with the dean signature to Sarah Blanck, [blancks@msu.edu](mailto:blancks@msu.edu) .The completed form with the appropriate signatures must be attached to the academic position request, the academic position exception request form or hiring form as noted in the [hiring chart](https://hr.msu.edu/ua/hiring/faculty-academic-staff/hiring-modifications.html) .\n\n*The human health colleges should use the form developed and provided by the Executive Vice President for Health Sciences.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2415
The chart indicates that hiring processes already begun for Fall 2020 may continue. But what if the department wants to hire a tenure system faculty member prior to Aug. 16, 2020. The start date may be Jul. 1, 2020. Does this require approval from the relevant vice president?	No. Indicate in the comments of the appointment form that the start date was adjusted from fall, 2020 to summer semester, 2020.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2416
Prior to receiving the President’s memo, we made an offer for a faculty / academic staff position and the candidate accepted the offer. Does this impact our offer?	All offers of employment which were made and accepted prior to Mar. 27, 2020 will be honored. However, we recommend that units assess whether it is necessary to delay the employment start date due to the statewide suspension of in-person operations as well as consideration of the impact to the onboarding process. The University wants its new employees to be equipped with the necessary knowledge and tools to be successful in their role and appropriate onboarding may be significantly disrupted during this time. We strongly encourage frequent communication with the new hire of updates regarding MSU’s operational status.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2417
Does approval need to be sought for contract renewals (e.g., reappointments)? What about recurring reappointments?	No. Approval is not necessary for contract renewals or recurring reappointments. However, it is still advisable to consult with senior leadership in your unit to assess the necessity of proceeding with a position.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2418
Does approval need to be sought for AY summer school appointments?	No, approval is not necessary for AY summer school appointments. However, it is still advisable to consult with senior leadership.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2419
Does approval need to be sought for no pay, clinical or adjunct appointments?	No, approval is not necessary for unpaid positions such as no pay, clinical or adjunct appointments.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2420
Does approval need to be sought if units want to open existing postings for new applicants to apply?	Yes, approval is needed to reopen a posting.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2421
Does approval need to be sought for graduate assistants moving to faculty appointments for summer 2020?	No, Provost approval is not required for academic units hiring graduate assistants in faculty appointments for summer 2020.\n\nAs a reminder, units should use the GA Summer appointment process exemption in EBS to hire spring 2020 graduate assistants into summer 2020 faculty appointments. If the graduate student was not employed as a graduate assistant in spring 2020 the unit should request an exception to the hiring process noting the hire is a graduate assistant for the summer 2020 faculty appointment.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2422
I received approval from the relevant vice president to post a position and/or proceed with an open position. Do I need to attach this approval to the EBS hiring form?	Yes. The completed form with the appropriate signatures must be attached to relevant HR form (i.e., hire, rehire, change position, additional assignment) when the form is submitted into workflow.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2423
NEW: Does approval need to incorporate the number of vacancies within a pool posting?	Yes. The number of vacancies within a pool posting needs to be stated in the approval form.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2424
We have a new hire expected to start work next week, can the start date be changed?	For positions that require face-to-face interaction, it may be appropriate to consider delaying the employment start date to after Apr. 14 providing that the statewide suspension of in-person operations is lifted. The University wants its new employees to be equipped with the necessary knowledge and tools to be successful in their role and appropriate onboarding may be significantly disrupted during this time. We strongly encourage frequent communication with the new hire of updates regarding MSU’s operational status.\n\nIf the start date needs to change, then the hiring form and required documents already in process will be returned to the unit to modify to accommodate the change in start date.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2425
We are about to post and begin the recruitment process for a new faculty/academic staff position. Should we consult with the vice president first?	Yes. All new positions will require review and approval from the relevant vice president.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2426
We are about to post and begin the recruitment process for a new support staff position. Does this require approval from the vice president?	Yes. All new positions will require review and approval from the relevant vice president.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2426
What if our open position is funded 100% by non-MSU, external funds. Can we still proceed with our hiring process without the additional approval by the relevant vice president?	The same guidance applies regardless of funding source. All new positions will require review and approval by the relevant vice president.\n\nSupport Staff Hiring Modifications (including Temporary, On-Call, Student and Graduate Assistant Employees)\n[Collapse All](javascript:collapseFAQ();)	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2427
We have a position form submitted in EBS workflow, does it require vice president approval?	Yes approval is required.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2428
We have a position posted and we are reviewing/interviewing candidates, does it require vice president approval?	Yes approval is required. Any open position where an offer has not been made to or accepted by a candidate as of Mar. 27, 2020 requires approval from the relevant vice president before proceeding.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2429
Vice president approval if we are already giving interviews?	Yes approval is required. Any open position where an offer has not been made to or accepted by a candidate as of Mar. 27, 2020 requires approval from the relevant vice president before proceeding.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2429
We made an offer for a support staff position and the candidate accepted the offer. Does this impact our offer?	No, all offers of employment which were made and accepted prior to Mar. 27, 2020 will be honored. However, we recommend that units assess whether it is necessary to delay the employment start date due to the statewide suspension of in-person operations as well as consideration of the impact to the onboarding process. The University wants its new employees to be equipped with the necessary knowledge and tools to be successful in their role and appropriate onboarding may be significantly disrupted during this time. We strongly encourage frequent communication with the new hire of updates regarding MSU’s operational status.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2430
Does a support staff position with a Fall (August) 2020 start date require approval from the vice president?	Yes, approval is required for all support staff positions regardless of start date.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2431
Is vice president approval required for graduate assistants, undergraduate assistants, and professorial assistants?	Units are asked to keep their head count for these positions consistent at this time. Hiring new graduate assistants to replace departing ones is acceptable, but units should not increase headcount over current levels without seeking permission from the unit’s appropriate vice president or provost. Approval in these circumstances requires completion of the Hiring Approval Form. In addition, hiring for any of these positions that are grant funded will be monitored by the Office of the Senior Vice President for Research and Innovation (OVPRI). OVPRI will provide guidance on that process. HR will not monitor these processes , nor will it monitor headcount.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2432
